Loan,Amount,Fico,Dti,IsExpensive,IsCalifornia,IsCashout,IsPrimary,PropOcc,PropState,PropType,Purpose
103453198,121000,702,24.792,0,0,1,1,Primary,GA,SFR_Dt,Cashout
103453301,281000,712,37.105,0,0,0,1,Primary,CO,SFR_Dt,Rate/Term
103453321,145500,625,44.253,0,0,1,1,Primary,DC,SFR_Dt,Cashout
103453402,502000,695,35.297,1,0,0,1,Primary,HI,SFR_At,Rate/Term
103453480,404000,763,29.872,0,0,1,1,Primary,UT,SFR_Dt,Cashout
103453520,399000,785,39.115,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103453543,243750,641,45,0,0,1,0,NOO,MT,SFR_Dt,Cashout
103453559,473000,765,42.999,0,0,0,1,Primary,WA,SFR_At,Rate/Term
103453579,435500,794,26.456,0,0,0,1,Primary,VA,SFR_At,Rate/Term
103453590,227000,746,47.322,0,0,0,1,Primary,TN,SFR_Dt,Rate/Term
103453608,172500,688,29.455,0,0,1,1,Primary,NY,SFR_Dt,Cashout
103453635,500000,760,31.233,1,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103453644,210000,690,47.225,0,0,1,1,Primary,NE,SFR_Dt,Cashout
103453649,247000,779,21.302,0,0,0,1,Primary,NV,SFR_At,Rate/Term
103453676,230000,810,26.211,0,0,0,1,Primary,CO,SFR_At,Rate/Term
103453723,328000,757,23.814,0,0,0,1,Primary,MN,SFR_Dt,Rate/Term
103453736,300000,778,34.294,0,1,1,1,Primary,CA,SFR_Dt,Cashout
103453751,258000,725,38.86,0,0,1,1,Primary,NH,SFR_Dt,Cashout
103453752,203500,796,37.192,0,0,0,1,Primary,UT,SFR_Dt,Rate/Term
103453808,726525,783,44.437,1,1,1,1,Primary,CA,SFR_At,Cashout
103453837,305300,803,20.908,0,0,0,1,Primary,TN,SFR_At,Rate/Term
103453865,200000,725,45.713,0,0,0,1,Primary,VA,SFR_Dt,Rate/Term
103453866,133600,649,28.662,0,0,1,1,Primary,TX,SFR_Dt,Cashout
103453913,250000,772,36.799,0,0,1,1,Primary,MA,2 Unit,Cashout
103453931,133000,772,23.422,0,0,0,1,Primary,IN,SFR_Dt,Rate/Term
103453944,250000,782,38.478,0,0,1,1,Primary,WY,SFR_Dt,Cashout
103453976,589000,796,33.163,1,1,0,1,Primary,CA,SFR_At,Rate/Term
103453983,222600,704,36.871,0,0,1,1,Primary,NV,SFR_At,Cashout
103453991,258400,753,29.763,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103454081,365000,762,36.711,0,0,0,1,Primary,SC,SFR_At,Purchase
103454086,472500,724,23.632,0,0,0,1,Primary,VA,SFR_Dt,Rate/Term
103454112,303100,765,42.449,0,0,0,1,Primary,RI,SFR_Dt,Rate/Term
103454144,165000,713,29.444,0,0,1,1,Primary,NM,SFR_Dt,Cashout
103454154,360000,722,43.304,0,0,1,1,Primary,AZ,SFR_At,Cashout
103454156,267000,785,46.69,0,0,1,1,Primary,WI,SFR_Dt,Cashout
103454174,336000,782,19.183,0,0,0,1,Primary,CO,SFR_Dt,Rate/Term
103454176,207150,788,45.296,0,0,0,1,Primary,WA,CondoLo,Rate/Term
103454215,244500,753,48.09,0,0,0,1,Primary,MI,SFR_Dt,Rate/Term
103454225,279500,771,29.603,0,0,0,1,Primary,ME,SFR_Dt,Rate/Term
103454272,228500,696,47.057,0,0,0,1,Primary,WY,SFR_Dt,Rate/Term
103454313,340000,727,45.369,0,1,0,1,Primary,CA,SFR_Dt,Purchase
103454315,235000,778,30.918,0,0,1,1,Primary,MT,SFR_Dt,Cashout
103454326,440200,740,34.727,0,1,0,1,Primary,CA,2 Unit,Rate/Term
103454334,280500,809,42.483,0,0,0,1,Primary,TN,SFR_Dt,Rate/Term
103454343,360000,763,29.196,0,0,1,1,Primary,AZ,SFR_At,Cashout
103454386,344739,801,41.237,0,1,0,1,Primary,CA,SFR_At,Rate/Term
103454390,265700,792,28.657,0,0,0,1,Primary,MI,SFR_Dt,Rate/Term
103454403,139200,629,30.975,0,0,0,1,Primary,NJ,SFR_Dt,Rate/Term
103454491,216860,787,25.463,0,0,0,1,Primary,NJ,SFR_At,Rate/Term
103454526,260000,798,27.881,0,0,0,1,Primary,SD,SFR_Dt,Rate/Term
103454543,232500,791,32.344,0,0,1,1,Primary,IL,SFR_At,Cashout
103454560,289750,790,25.472,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103454573,332000,808,25.326,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103454583,351900,687,34.588,0,0,0,1,Primary,NJ,SFR_Dt,Rate/Term
103454615,223250,687,36.521,0,0,0,1,Primary,OH,SFR_At,Rate/Term
103454704,269200,807,24.406,0,0,1,1,Primary,VA,SFR_At,Cashout
103454733,165000,654,44.16,0,0,1,1,Primary,VA,CondoLo,Cashout
103454753,382000,716,45.18,0,0,0,1,Primary,MD,SFR_At,Rate/Term
103454771,180000,770,48.69,0,0,1,1,Primary,AZ,SFR_Dt,Cashout
103454836,226000,700,49.207,0,0,0,1,Primary,MN,SFR_Dt,Rate/Term
103454847,289000,735,49.49,0,0,0,1,Primary,WA,SFR_Dt,Rate/Term
103454854,282000,793,20.078,0,0,0,1,Primary,NC,SFR_At,Rate/Term
103454878,160000,730,45.062,0,1,1,1,Primary,CA,SFR_Dt,Cashout
103454913,232500,723,44.209,0,0,0,1,Primary,FL,SFR_Dt,Rate/Term
103454916,504100,775,31.216,1,1,0,1,Primary,CA,CondoLo,Rate/Term
103454941,262464,695,41.575,0,0,1,1,Primary,PA,SFR_Dt,Cashout
103454950,330000,795,43.039,0,0,1,1,Primary,VA,SFR_Dt,Cashout
103454965,339500,788,37.886,0,0,0,1,Primary,NM,SFR_At,Rate/Term
103454973,335000,789,27.684,0,0,0,1,Primary,IN,SFR_At,Rate/Term
103455016,345750,714,41.471,0,0,0,1,Primary,NV,SFR_Dt,Rate/Term
103455063,270000,723,33.64,0,0,1,1,Primary,VT,SFR_Dt,Cashout
103455074,208200,781,28.568,0,0,0,1,Primary,OH,SFR_Dt,Rate/Term
103455104,372900,809,27.36,0,1,0,1,Primary,CA,SFR_At,Rate/Term
103455119,152000,650,30.665,0,0,1,1,Primary,TX,SFR_Dt,Cashout
103455121,280000,783,22.535,0,0,0,1,Primary,MI,SFR_Dt,Rate/Term
103455127,261000,807,24.896,0,0,0,1,Primary,MS,SFR_Dt,Rate/Term
103455147,290500,814,50.42,0,0,1,1,Primary,TN,SFR_At,Cashout
103455161,263000,770,22.013,0,0,0,1,Primary,AZ,SFR_At,Rate/Term
103455172,324000,713,44.22,0,0,1,1,Primary,IA,SFR_Dt,Cashout
103455186,244000,675,31.845,0,0,1,1,Primary,IN,SFR_Dt,Cashout
103455200,380000,756,33.43,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103455206,279193,747,44.1,0,0,1,1,Primary,KS,SFR_At,Cashout
103455213,350000,792,39.008,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103455254,402500,763,33.575,0,0,0,1,Primary,MD,SFR_At,Rate/Term
103455262,476995,803,12.768,0,1,0,1,Primary,CA,SFR_At,Rate/Term
103455267,241500,789,36.195,0,0,1,1,Primary,CO,SFR_Dt,Cashout
103455297,215000,679,47.732,0,0,0,1,Primary,FL,SFR_At,Rate/Term
103455326,252000,742,39.645,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103455360,423984,768,39.392,0,0,0,1,Primary,TX,SFR_At,Rate/Term
103455402,269000,728,45.881,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103455434,345500,714,35.804,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103455435,172000,787,26.937,0,0,1,1,Primary,AZ,SFR_Dt,Cashout
103455445,248000,735,30.421,0,0,0,1,Primary,WA,SFR_Dt,Rate/Term
103455451,326000,801,39.816,0,0,0,0,NOO,VA,SFR_At,Rate/Term
103455465,344100,775,37.125,0,0,1,1,Primary,NE,SFR_At,Cashout
103455473,250000,703,31.027,0,0,1,1,Primary,IL,SFR_Dt,Cashout
103455552,362000,684,33.237,0,0,1,1,Primary,WA,SFR_Dt,Cashout
103455555,413000,751,33.783,0,0,0,1,Primary,CO,SFR_Dt,Rate/Term
103455573,244949,777,36.632,0,0,1,1,Primary,MA,SFR_Dt,Cashout
103455580,166000,757,42.447,0,0,0,1,Primary,NJ,SFR_Dt,Rate/Term
103455593,238000,755,41.614,0,0,0,1,Primary,OH,SFR_At,Rate/Term
103455594,355000,752,35.09,0,0,0,1,Primary,MI,SFR_Dt,Rate/Term
103455613,148500,780,43.499,0,0,1,1,Primary,NY,3 Unit,Cashout
103455620,237200,753,21.456,0,0,0,1,Primary,KS,SFR_Dt,Rate/Term
103455633,282000,699,44.504,0,0,1,1,Primary,MI,Det Condo,Cashout
